N       bt          memo
1000    27.330000   44.960000
2000    35.660000   65.750000
4000    46.240000   84.210000
8000    94.700000   169.660000
16000   191.700000  338.200000
32000   445.530000  679.540000
64000   1066.490000 1444.250000
128000  2281.450000 3048.920000
256000  3692.750000 5735.200000
512000  6229.170000 12125.270000
