step=136 time=0.807088s cnt=61681 avg=13.084872
step=137 time=0.872554s cnt=61231 avg=14.250200
step=138 time=0.885583s cnt=60788 avg=14.568385
step=139 time=0.871015s cnt=60350 avg=14.432726
step=140 time=0.815773s cnt=59919 avg=13.614596
step=141 time=0.862712s cnt=59494 avg=14.500824
step=142 time=0.890188s cnt=59075 avg=15.068777
step=143 time=0.860216s cnt=58662 avg=14.663939
step=144 time=0.839781s cnt=58255 avg=14.415604
step=145 time=0.887132s cnt=57853 avg=15.334244
step=146 time=0.889074s cnt=57457 avg=15.473728
step=147 time=0.876291s cnt=57066 avg=15.355746
step=148 time=0.777479s cnt=56680 avg=13.716990
step=149 time=0.477646s cnt=56300 avg=8.483943
step=150 time=0.534205s cnt=55925 avg=9.552168
step=151 time=0.508451s cnt=55554 avg=9.152374
step=152 time=0.600503s cnt=55189 avg=10.880846
step=153 time=0.569908s cnt=54828 avg=10.394470
step=154 time=0.649190s cnt=54472 avg=11.917866
step=155 time=0.669379s cnt=54121 avg=12.368193
step=156 time=0.588679s cnt=53774 avg=10.947279
step=157 time=0.697630s cnt=53431 avg=13.056653
step=158 time=0.591929s cnt=53093 avg=11.148909
step=159 time=0.725386s cnt=52759 avg=13.749048
step=160 time=0.591910s cnt=52429 avg=11.289744
step=161 time=0.540296s cnt=52104 avg=10.369569
step=162 time=0.823321s cnt=51782 avg=15.899753
step=163 time=0.743504s cnt=51464 avg=14.447070
step=164 time=0.910841s cnt=51151 avg=17.806905
step=165 time=0.875975s cnt=50841 avg=17.229697
step=166 time=0.962981s cnt=50534 avg=19.056101
step=167 time=0.973502s cnt=50232 avg=19.380116
step=168 time=0.935913s cnt=49933 avg=18.743376
step=169 time=0.808258s cnt=49637 avg=16.283377
step=170 time=0.713136s cnt=49345 avg=14.452042
step=171 time=0.1337165s cnt=49057 avg=27.257374
step=172 time=0.1172341s cnt=48771 avg=24.037666
step=173 time=0.1646370s cnt=48490 avg=33.952774
step=174 time=0.813604s cnt=48211 avg=16.875900
step=175 time=0.802335s cnt=47935 avg=16.737979
step=176 time=0.444099s cnt=47663 avg=9.317479
step=177 time=0.408697s cnt=47394 avg=8.623391
step=178 time=0.413294s cnt=47128 avg=8.769606
step=179 time=0.426594s cnt=46864 avg=9.102808
step=180 time=0.424036s cnt=46604 avg=9.098704
step=181 time=0.541623s cnt=46346 avg=11.686510
step=182 time=0.465048s cnt=46092 avg=10.089560
step=183 time=0.472122s cnt=45840 avg=10.299346
step=184 time=0.622337s cnt=45591 avg=13.650435
step=185 time=0.522452s cnt=45344 avg=11.521965
step=186 time=0.550303s cnt=45101 avg=12.201570
step=187 time=0.527089s cnt=44859 avg=11.749905
step=188 time=0.602022s cnt=44621 avg=13.491898
step=189 time=0.646968s cnt=44385 avg=14.576276
step=190 time=0.505533s cnt=44151 avg=11.450092
step=191 time=0.450337s cnt=43920 avg=10.253575
step=192 time=0.498878s cnt=43691 avg=11.418324
step=193 time=0.442933s cnt=43465 avg=10.190567
step=194 time=0.624688s cnt=43241 avg=14.446659
step=195 time=0.475671s cnt=43019 avg=11.057231
step=196 time=0.454770s cnt=42800 avg=10.625467
step=197 time=0.506014s cnt=42582 avg=11.883284
step=198 time=0.419903s cnt=42367 avg=9.911086
step=199 time=0.393119s cnt=42154 avg=9.325782
step=200 time=0.535699s cnt=41944 avg=12.771767
step=201 time=0.534995s cnt=41735 avg=12.818857
step=202 time=0.444323s cnt=41528 avg=10.699359
step=203 time=0.474537s cnt=41324 avg=11.483327
step=204 time=0.554994s cnt=41121 avg=13.496608
step=205 time=0.493203s cnt=40921 avg=12.052565
step=206 time=0.418105s cnt=40722 avg=10.267300
step=207 time=0.448445s cnt=40525 avg=11.065885
step=208 time=0.421743s cnt=40330 avg=10.457302
step=209 time=0.606365s cnt=40137 avg=15.107382
step=210 time=0.437675s cnt=39946 avg=10.956666
step=211 time=0.400383s cnt=39757 avg=10.070755
