N       naive   algo    mix
4       10      28      5
8       38      152     14
16      48      257     39
32      131     737     126
64      354     1631    335
128     1648    5472    1499
256     6672    16644   6744
512     24130   50924   21673
1024    93531   116393  69352
2048    283996  329771  284566
4096    1138343 1013565 779206
8192    5187047 3021211 2228185
16384   18803090        9678386 6869333
32768   74776635        28014707        20716040
